Gene.symbol	Gene.title	adj.P.Val	logFC
CCDC175	coiled-coil domain containing 175	1.03316643730802e-09	-2.43955437617949
SYTL4	synaptotagmin like 4	1.38182547077737e-09	-3.23887737651282
ZNF106	zinc finger protein 106	1.75074828235835e-09	1.93252188087179
CYBB	cytochrome b-245 beta chain	1.75973340909499e-09	5.47222871602564
ABI3BP	ABI family member 3 binding protein	2.10221058383534e-09	-1.70239973723077
FAM19A2	family with sequence similarity 19 member A2, C-C motif chemokine like	2.41664726856178e-09	-3.45658669925641
CTSF	cathepsin F	2.61996222697346e-09	-2.02594284702564
FHL1	four and a half LIM domains 1	2.91073993636925e-09	-3.99443699497436
NCF2	neutrophil cytosolic factor 2	3.1255985944519e-09	4.33740947894872
MAN2B1	mannosidase alpha class 2B member 1	3.87735920167842e-09	1.72233582897436
SDR42E1	short chain dehydrogenase/reductase family 42E, member 1	4.36784307995112e-09	-2.36840092841026
		4.62811547748744e-09	2.27829731448718
PLD1	phospholipase D1	4.93314441355622e-09	2.7316939855641
STAC	SH3 and cysteine rich domain	5.00640688678203e-09	-1.50090312487179
ATP11A	ATPase phospholipid transporting 11A	5.65340648359965e-09	2.13803729876923
GPR21	G protein-coupled receptor 21	5.95571485388102e-09	-3.61473297074359
MYCT1	myc target 1	6.64079902007542e-09	-5.46403800761539
SMAP2	small ArfGAP2	7.0408029549705e-09	1.95563606574359
PRO2012	uncharacterized protein PRO2012	7.3499493921316e-09	-3.32140019684616
NAP1L2	nucleosome assembly protein 1 like 2	1.0279544716796e-08	-2.5014672455641
		1.05235613251084e-08	-1.27177471584615
RAB38	RAB38, member RAS oncogene family	1.22859192299248e-08	-2.12181821305128
ARMC4	armadillo repeat containing 4	1.24318997214352e-08	-1.58381414751282
PLS3	plastin 3	1.59730847836547e-08	-2.59536376320513
TCTEX1D1	Tctex1 domain containing 1	1.721745022828e-08	-3.5738875305641
STARD9	StAR related lipid transfer domain containing 9	1.78152823749658e-08	-2.63352320930769
PP13439	uncharacterized LOC100128046	2.31451113775464e-08	2.63649323461538
IL12RB2	interleukin 12 receptor subunit beta 2	2.31451113775464e-08	-3.95820334825641
CD36	CD36 molecule	2.31451113775464e-08	5.39168420805129
IL13RA1	interleukin 13 receptor subunit alpha 1	2.40675809991888e-08	4.37119377966667
STARD9	StAR related lipid transfer domain containing 9	2.55752060292497e-08	-2.63268502520513
		2.87454597073484e-08	-3.6351669991282
KLF3-AS1	KLF3 antisense RNA 1	3.12391907381108e-08	-2.92258975802564
PTPRJ	protein tyrosine phosphatase, receptor type J	4.1553368990435e-08	3.05885984005128
TMEM136///TMEM136	transmembrane protein 136///transmembrane protein 136	4.18161946435468e-08	-2.71092423887179
QSOX1	quiescin sulfhydryl oxidase 1	4.76318931592574e-08	2.16777668553846
JAM2	junctional adhesion molecule 2	5.55352979664995e-08	-1.99945324823077
CXorf57	chromosome X open reading frame 57	5.76837750179438e-08	-2.06693276433333
PDZRN4	PDZ domain containing ring finger 4	5.92016306163408e-08	-1.46943810876923
TNFRSF1B	TNF receptor superfamily member 1B	5.99218753611751e-08	2.84937708584615
FAM107B	family with sequence similarity 107 member B	6.03626144360662e-08	2.84794219038462
ITGB2	integrin subunit beta 2	6.16835713359832e-08	2.54227068110257
PGM5P2///PGM5	phosphoglucomutase 5 pseudogene 2///phosphoglucomutase 5	6.6912043648196e-08	-3.3394900731282
ARMCX1	armadillo repeat containing, X-linked 1	6.71058644350586e-08	-2.3336340294359
SLC25A27	solute carrier family 25 member 27	7.12554723839864e-08	-3.06080530682051
FLNA	filamin A	7.19440089477135e-08	1.52768580610257
IL10RA	interleukin 10 receptor subunit alpha	7.57182316646275e-08	3.43137970725641
ECRP///ECRP	ribonuclease A family member 2 pseudogene///ribonuclease A family member 2 pseudogene	8.22288953455059e-08	4.02352308148718
MCF2L2	MCF.2 cell line derived transforming sequence-like 2	8.22288953455059e-08	-1.64675959307692
TRO	trophinin	1.07653131679496e-07	-2.13447067007692
PLA2R1	phospholipase A2 receptor 1	1.09063491455244e-07	-1.58617879110256
RNF17	ring finger protein 17	1.10150399295585e-07	-1.45665480015385
ATP9A	ATPase phospholipid transporting 9A (putative)	1.38136561330474e-07	-2.56717375215385
STARD9	StAR related lipid transfer domain containing 9	1.38136561330474e-07	-2.72213319641026
CP	ceruloplasmin (ferroxidase)	1.48481021372606e-07	-2.71075010723077
BEND7	BEN domain containing 7	1.66262355909298e-07	-1.99296448982051
BEX5	brain expressed X-linked 5	1.77955000521715e-07	-2.16447904087179
		1.87340927741746e-07	-2.7064984828718
IGKC	immunoglobulin kappa constant	2.04493617739089e-07	4.87605097792308
L3MBTL4	l(3)mbt-like 4 (Drosophila)	2.11591089696045e-07	-3.03675179053846
CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	2.14328383278945e-07	-2.96587094874359
		2.14566108407408e-07	1.3349311126923
CPEB4	cytoplasmic polyadenylation element binding protein 4	2.25157431141088e-07	2.3939107391282
CTSH	cathepsin H	2.34269584777645e-07	3.46868197571795
DGKD	diacylglycerol kinase delta	2.75298694108787e-07	1.46573066341026
MNDA	myeloid cell nuclear differentiation antigen	3.063271509096e-07	4.56896697415384
TSPAN6	tetraspanin 6	3.08848344335151e-07	-1.63685075974359
GRN	granulin	3.13351467542575e-07	2.44203773782051
TMEM163	transmembrane protein 163	3.17947871237515e-07	-2.6971528855641
		3.18537699374961e-07	2.52142361617949
MTURN	maturin, neural progenitor differentiation regulator homolog (Xenopus)	3.54003548490266e-07	-2.44327826920513
LTBP3	latent transforming growth factor beta binding protein 3	3.56325217714614e-07	-1.83492070674359
ARHGAP22	Rho GTPase activating protein 22	3.67288843640751e-07	-1.94867751971795
VWDE	von Willebrand factor D and EGF domains	3.67814869064516e-07	-3.68744494776923
C3AR1	complement component 3a receptor 1	3.82492989179784e-07	4.05962981430769
TYROBP	TYRO protein tyrosine kinase binding protein	4.17361825691533e-07	2.94020514733333
ARG2	arginase 2	4.24524287994512e-07	-2.5604561684359
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)///SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2	4.36366318181435e-07	2.16750847976923
		4.9868813994102e-07	-1.63014033392308
TVP23A	trans-golgi network vesicle protein 23 homolog A	5.10366016089502e-07	-1.79886268525641
		5.32728911588798e-07	-2.37490011830769
FAM129A	family with sequence similarity 129 member A	5.4810615166272e-07	2.26772417028205
ARHGEF17	Rho guanine nucleotide exchange factor 17	5.58324257321047e-07	-1.52775941576923
SLC2A9	solute carrier family 2 member 9	5.58324257321047e-07	2.242222836
PRSS3P2///PRSS2///PRSS3P2///PRSS2	protease, serine 3 pseudogene 2///protease, serine 2///protease, serine 3 pseudogene 2///protease, serine 2	5.7708453760919e-07	-2.56217608912821
TAPT1-AS1	TAPT1 antisense RNA 1 (head to head)	5.82359841044913e-07	-1.79336378120513
CYYR1	cysteine and tyrosine rich 1	5.82359841044913e-07	-3.51749674179487
TSPYL5	TSPY like 5	6.63304286637134e-07	-2.88580522294872
TLR4	toll like receptor 4	6.6891322565068e-07	3.41181888302564
SCD	stearoyl-CoA desaturase	7.49882746269737e-07	-2.78440451107692
ENO2	enolase 2	7.49882746269737e-07	-2.03726962833333
VCAN	versican	7.52787046714327e-07	5.85915988171795
TMTC2	transmembrane and tetratricopeptide repeat containing 2	7.83395691170432e-07	2.41887461392308
FBN1	fibrillin 1	8.50884948272432e-07	-2.31395729551282
SEPT5-GP1BB	SEPT5-GP1BB readthrough	8.65735720087871e-07	-2.42954378025641
GPC5	glypican 5	8.68367148509447e-07	-1.77394264802564
CA13	carbonic anhydrase 13	9.01121584001681e-07	-1.82065840351282
TMEM220	transmembrane protein 220	9.53297313341665e-07	-1.75969449092308
		9.53297313341665e-07	-2.39143027517949
LOC400464	ubiquitin conjugating enzyme E2 Q2 pseudogene	1.05939551835609e-06	-2.10522453815385
MYO5C	myosin VC	1.05939551835609e-06	-2.49871752648718
SMO	smoothened, frizzled class receptor	1.05939551835609e-06	-1.53035590782051
HMGN2	high mobility group nucleosomal binding domain 2	1.1607644630068e-06	1.63509301525641
SH3KBP1	SH3 domain containing kinase binding protein 1	1.16408104532071e-06	1.52923641723077
PRR11	proline rich 11	1.16408104532071e-06	2.70469791141026
		1.18679625309645e-06	3.55042931805128
SIRPA	signal regulatory protein alpha	1.18679625309645e-06	2.13223261082051
PRKCA	protein kinase C alpha	1.18679625309645e-06	2.71352905564103
LDOC1	leucine zipper down-regulated in cancer 1	1.1948871400752e-06	-1.57446586169231
REC8	REC8 meiotic recombination protein	1.19622424657119e-06	-2.1526889398718
HBEGF	heparin binding EGF like growth factor	1.24049362058371e-06	4.22956441361538
ACPP	acid phosphatase, prostate	1.26747700092864e-06	2.74125420289744
NLGN1	neuroligin 1	1.26747700092864e-06	-0.987689888102564
F13A1	coagulation factor XIII A chain	1.30603156588816e-06	4.23605761717949
RNPEP	arginyl aminopeptidase	1.34751803548801e-06	1.37714974276923
RAB8A	RAB8A, member RAS oncogene family	1.37008218661443e-06	1.3150252845641
IL1RAP	interleukin 1 receptor accessory protein	1.38849558495203e-06	2.67466973997436
METTL24	methyltransferase like 24	1.4566174247973e-06	-1.68537355012821
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	1.4566174247973e-06	-1.98007363989744
TSPAN2	tetraspanin 2	1.61341660020035e-06	-3.60057707746154
FNDC3B	fibronectin type III domain containing 3B	1.77075381309705e-06	2.08154235479487
TRIM74///TRIM73///TRIM50	tripartite motif containing 74///tripartite motif containing 73///tripartite motif containing 50	1.77747900453379e-06	-1.67736201274359
TCEAL9	transcription elongation factor A like 9	1.78812098562574e-06	-1.76211395553846
WBP2	WW domain binding protein 2	1.97912957972963e-06	1.47222011689744
LCP1	lymphocyte cytosolic protein 1	2.00788748367234e-06	1.20892460897436
IL17RA	interleukin 17 receptor A	2.00788748367234e-06	2.53615103974359
FAM46A	family with sequence similarity 46 member A	2.08390559935881e-06	2.17463912284615
SNHG16///SNORD1C///SNHG16	small nucleolar RNA host gene 16///small nucleolar RNA, C/D box 1C///small nucleolar RNA host gene 16	2.08825761270597e-06	-2.13459648669231
CSF1R	colony stimulating factor 1 receptor	2.08825761270597e-06	3.48428796092308
MIPOL1	mirror-image polydactyly 1	2.14818735476519e-06	-1.12408714
CPD	carboxypeptidase D	2.14818735476519e-06	1.75860842817948
CALN1	calneuron 1	2.22088666516188e-06	-2.15829990238462
TXNRD3NB///TXNRD3	thioredoxin reductase 3 neighbor///thioredoxin reductase 3	2.32324166898421e-06	-1.70336165
FOSL2	FOS like 2, AP-1 transcription factor subunit	2.38107320628809e-06	2.40068486412821
SYDE2	synapse defective Rho GTPase homolog 2	2.41899108066124e-06	-1.46621635138461
		2.4893484297845e-06	-1.03765329974359
FAM169A	family with sequence similarity 169 member A	2.63323696429548e-06	-3.14711178423077
LRRN1	leucine rich repeat neuronal 1	2.70980000678094e-06	-2.54890770861538
C10orf12	chromosome 10 open reading frame 12	2.8269225693123e-06	1.90596220194872
PCDH9	protocadherin 9	2.83731160021646e-06	-1.46445154774359
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2	2.94553835879183e-06	-1.34002213005128
FIGN	fidgetin, microtubule severing factor	2.94571803586558e-06	-1.1719559144359
PACRG	PARK2 coregulated	2.94571803586558e-06	-1.55947834594872
EFR3A	EFR3 homolog A	2.98086749666771e-06	1.53315064707692
		3.05962083950435e-06	-1.86910534466667
MAP2K7	mitogen-activated protein kinase kinase 7	3.15812486677807e-06	1.28469440510257
UCHL1	ubiquitin C-terminal hydrolase L1	3.15812486677807e-06	-2.39664098594872
NSUN7	NOP2/Sun RNA methyltransferase family member 7	3.20093212497715e-06	-1.65937083776923
LY86	lymphocyte antigen 86	3.31508929260655e-06	4.93791970225641
PDK1	pyruvate dehydrogenase kinase 1	3.31508929260655e-06	2.00904353325641
TRIB1	tribbles pseudokinase 1	3.31508929260655e-06	3.00407674982052
FGD5	FYVE, RhoGEF and PH domain containing 5	3.31508929260655e-06	-2.00437798071795
CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	3.31508929260655e-06	1.35854391848718
STAC3	SH3 and cysteine rich domain 3	3.36695564203938e-06	1.66972401389744
ATP6V1B2	ATPase H+ transporting V1 subunit B2	3.36695564203938e-06	1.34213170835897
ITGAM	integrin subunit alpha M	3.43180658751944e-06	3.25403281312821
VWA2	von Willebrand factor A domain containing 2	3.69709466492923e-06	-1.12278050482051
ZBED8	zinc finger BED-type containing 8	3.69709466492923e-06	-1.29777509594872
IGHM///IGHV3-48///IGHV3-69-1	immunoglobulin heavy constant mu///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-69-1 (pseudogene)	3.70106628528188e-06	4.8287123778718
SP140	SP140 nuclear body protein	3.70142321207859e-06	2.14318211366667
ZNRF1	zinc and ring finger 1, E3 ubiquitin protein ligase	3.84157882043595e-06	-1.44428746335898
		3.87836307520666e-06	-1.73694013225641
SERPINE2	serpin family E member 2	3.87836307520666e-06	-2.96446143758974
CD68	CD68 molecule	3.94807740504825e-06	2.68726517210256
EIF5AL1///EIF5A	eukaryotic translation initiation factor 5A-like 1///eukaryotic translation initiation factor 5A	3.95305643921918e-06	2.29687736882051
PCYT1B	phosphate cytidylyltransferase 1, choline, beta	3.95460467157548e-06	-2.05504685625641
ZNF300	zinc finger protein 300	4.00128511848287e-06	-2.14368081438462
HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	4.00497326851334e-06	4.48327310789744
		4.23469432329554e-06	-2.34378658666667
IFI30	IFI30, lysosomal thiol reductase	4.3185623847995e-06	3.30514283923077
PRDM1	PR/SET domain 1	4.3272582921185e-06	3.09471872764103
PTPN18	protein tyrosine phosphatase, non-receptor type 18	4.45581053480463e-06	2.31549689633334
PLCB2	phospholipase C beta 2	4.89123342433674e-06	1.48580113192307
		5.00591791416464e-06	-1.34044622966667
PGM5	phosphoglucomutase 5	5.07381889718589e-06	-2.02287850697436
SPINK2	serine peptidase inhibitor, Kazal type 2	5.07381889718589e-06	-3.61860245130769
DKFZP434L187	uncharacterized LOC26082	5.38618508576322e-06	-1.53788441717949
LYST	lysosomal trafficking regulator	5.99960090555003e-06	2.34793909769231
GATS	GATS, stromal antigen 3 opposite strand	6.02965845699181e-06	-1.29517820994872
DPPA4	developmental pluripotency associated 4	6.11769727030441e-06	-3.46505291376923
OSCAR	osteoclast associated, immunoglobulin-like receptor	6.13901984632068e-06	1.49915143061538
MFN2	mitofusin 2	6.16697047448818e-06	1.35422766502564
MIR24-2	microRNA 24-2	6.30937129372655e-06	-3.0785470995641
CAMLG	calcium modulating ligand	6.46976781686855e-06	-1.74632564258975
ARHGAP19-SLIT1///ARHGAP19	ARHGAP19-SLIT1 readthrough (NMD candidate)///Rho GTPase activating protein 19	6.8301798386627e-06	1.73868784484615
CSF2RA	colony stimulating factor 2 receptor alpha subunit	7.08557534875906e-06	2.29059878907692
		7.77478039480098e-06	-1.49808380682052
FAM21A///FAM21C	family with sequence similarity 21 member A///family with sequence similarity 21 member C	7.816517675175e-06	0.998142921358976
HMGN2	high mobility group nucleosomal binding domain 2	7.83394013438206e-06	1.42834123525641
C1orf21	chromosome 1 open reading frame 21	8.39595692217329e-06	-2.57795670379487
THRB	thyroid hormone receptor beta	8.93839634090339e-06	-1.82319936323077
FCER1G	Fc fragment of IgE receptor Ig	8.93839634090339e-06	3.93131174917949
POTEF///POTEJ///POTEM///POTEE///POTEKP	POTE ankyrin domain family member F///POTE ankyrin domain family member J///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member K, pseudogene	8.93895951853182e-06	1.56140919
SYS1-DBNDD2///DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)///dysbindin domain containing 2	9.09423579735095e-06	-1.28397909592308
STK33	serine/threonine kinase 33	9.13342002939036e-06	-2.79675932607692
GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	9.30787738523131e-06	-2.37786936587179
HOMER3	homer scaffolding protein 3	9.36400467877777e-06	2.15485914117949
MME	membrane metallo-endopeptidase	9.5207186667221e-06	-2.37511160594872
SEMA3C	semaphorin 3C	9.58727236865654e-06	-2.07572623230769
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	1.03091235582835e-05	-0.981841003102566
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	1.03091235582835e-05	-3.03353555684615
SETBP1	SET binding protein 1	1.03091235582835e-05	-2.02946148646154
SLC16A2	solute carrier family 16 member 2	1.04623053928219e-05	-1.548027087
SNX30	sorting nexin family member 30	1.04779963376822e-05	1.72538556882051
ID1	inhibitor of DNA binding 1, HLH protein	1.06794762644999e-05	-2.16719080312821
SLC8A3	solute carrier family 8 member A3	1.06794762644999e-05	-1.37896281994872
LOC100134868	uncharacterized LOC100134868	1.07974557659447e-05	-1.59075536897436
		1.10400091714279e-05	-1.91181629676923
AASS	aminoadipate-semialdehyde synthase	1.10400091714279e-05	-3.40152127028205
		1.12748048261611e-05	1.81699432092308
		1.12925684301624e-05	1.761614228
SLC29A2	solute carrier family 29 member 2	1.17380487428285e-05	-1.35045184035897
TMEM98	transmembrane protein 98	1.20742291865486e-05	-2.2611440578718
MPPED2	metallophosphoesterase domain containing 2	1.20836758719234e-05	-3.00448437812821
RAPGEF3	Rap guanine nucleotide exchange factor 3	1.20836758719234e-05	-1.192142386
C10orf10	chromosome 10 open reading frame 10	1.21233987403174e-05	-2.64974581564103
SRGAP2C///SRGAP2B///SRGAP2	SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2	1.21233987403174e-05	2.02901371976923
ARSB	arylsulfatase B	1.2334528372019e-05	1.540107456
NT5DC3	5'-nucleotidase domain containing 3	1.25884615519313e-05	2.39471484228205
FLJ11710	uncharacterized protein FLJ11710	1.26471806159033e-05	-2.47353865574359
		1.26899884755668e-05	-2.27258949312821
PLEK	pleckstrin	1.35633874799338e-05	1.90967791282051
ZDHHC15	zinc finger DHHC-type containing 15	1.38481831645442e-05	-2.13826322874359
FAM213A	family with sequence similarity 213 member A	1.38481831645442e-05	-2.30142479894872
PLSCR4	phospholipid scramblase 4	1.38673237654186e-05	-2.51725446538462
USF1	upstream transcription factor 1	1.39893562142472e-05	1.32800064079488
EIF3J-AS1	EIF3J antisense RNA 1 (head to head)	1.40907522740068e-05	-1.57041119871795
HAVCR2	hepatitis A virus cellular receptor 2	1.41568375306944e-05	2.64447737782051
CDKN2C	cyclin dependent kinase inhibitor 2C	1.44823968436946e-05	1.77676097497436
ZNF385D	zinc finger protein 385D	1.45777825130828e-05	-1.82843943361539
CDC42BPA	CDC42 binding protein kinase alpha	1.45777825130828e-05	-3.12926492282051
ITGB7	integrin subunit beta 7	1.54858178693287e-05	2.60138286694872
TOM1	target of myb1 membrane trafficking protein	1.57204783191811e-05	1.45853159882051
SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	single-chain Fv fragment///immunoglobulin lambda joining 3///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 3-41 (pseudogene)///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus///uncharacterized LOC317730///immunoglobulin kappa locus///immunoglobulin kappa variable 3-20///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-75 (pseudogene)///immunoglobulin heavy variable 3-69-1 (pseudogene)///immunoglobulin heavy variable 3/OR16-7 (pseudogene)	1.59658604230167e-05	3.79372373376923
TCEB3	transcription elongation factor B subunit 3	1.67677481278587e-05	1.30351417997436
ZNF516	zinc finger protein 516	1.79992323024554e-05	1.56980913420513
WARS	tryptophanyl-tRNA synthetase	1.79992323024554e-05	2.40287362166667
KLHL3	kelch like family member 3	1.8026782714489e-05	-1.71497428330769
CD33	CD33 molecule	1.8026782714489e-05	2.23913046725641
TIMP1	TIMP metallopeptidase inhibitor 1	1.8026782714489e-05	2.49856553812821
TMEM63A	transmembrane protein 63A	1.8026782714489e-05	-1.13095942871795
TPTEP1	transmembrane phosphatase with tensin homology pseudogene 1	1.80898827833314e-05	-2.72095251423077
AOAH	acyloxyacyl hydrolase	1.8242113124992e-05	2.68499893746154
OPA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	1.8242113124992e-05	0.954254326256411
TMEM246	transmembrane protein 246	1.84330196297388e-05	-1.12728033694872
TMEM104	transmembrane protein 104	1.86327869084795e-05	1.61868904512821
RYR3	ryanodine receptor 3	1.86327869084795e-05	-1.30667829517949
NEDD9	neural precursor cell expressed, developmentally down-regulated 9	1.88710039802929e-05	2.26424507958974
MS4A6A	membrane spanning 4-domains A6A	1.92265036356451e-05	4.09823340592308
AMT///AMT	aminomethyltransferase///aminomethyltransferase	2.07518157070737e-05	-1.42361457694872
DOT1L	DOT1 like histone lysine methyltransferase	2.16122481628366e-05	1.247728084
F2RL1	F2R like trypsin receptor 1	2.16803928540582e-05	-2.6503166024359
SHANK3	SH3 and multiple ankyrin repeat domains 3	2.16803928540582e-05	-1.53633136582051
BEX1	brain expressed X-linked 1	2.17849730369854e-05	-3.93707132246154
SV2A	synaptic vesicle glycoprotein 2A	2.18746691027302e-05	-1.90675828153846
CLDN15	claudin 15	2.2911462331472e-05	-1.23018928233333
TPD52L2	tumor protein D52 like 2	2.3226566062161e-05	1.45356442623077
EVA1C	eva-1 homolog C	2.34955394535138e-05	-1.65314534030769
ZNF687	zinc finger protein 687	2.38108423128399e-05	1.1094654485641
PAWR	pro-apoptotic WT1 regulator	2.39044762173751e-05	-3.1381247914359
SGMS2	sphingomyelin synthase 2	2.39444221467166e-05	2.26941927535897
E2F5	E2F transcription factor 5	2.41026951996574e-05	-2.01346506069231
CECR1	cat eye syndrome chromosome region, candidate 1	2.4240601577073e-05	3.09260352684615
		2.4240601577073e-05	-1.38850665517949
HIBADH	3-hydroxyisobutyrate dehydrogenase	2.44507239125621e-05	-1.33530898330769
MED12L	mediator complex subunit 12 like	2.56850599346679e-05	-2.97964740517949
BAIAP3	BAI1 associated protein 3	2.56850599346679e-05	-1.44151956230769
MIR23A	microRNA 23a	2.56850599346679e-05	-2.49044017561539
MEF2D	myocyte enhancer factor 2D	2.61872555298652e-05	1.28314084146154
ZNF354C	zinc finger protein 354C	2.7093505047109e-05	-1.73613853035897
		2.71094342592397e-05	1.65653381771795
GGT7	gamma-glutamyltransferase 7	2.71150354017161e-05	-0.97193686892308
LOC102724238///LOC554249///GLIDR	uncharacterized LOC102724238///uncharacterized LOC554249///glioblastoma down-regulated RNA	2.71150354017161e-05	-1.21700032815385
BMP6///BMP6	bone morphogenetic protein 6///bone morphogenetic protein 6	2.71150354017161e-05	-1.74728416066667
MPEG1	macrophage expressed 1	2.74122015277112e-05	4.54468116571795
ATL3	atlastin GTPase 3	2.85253238161006e-05	1.1967708244359
SSPN	sarcospan	2.89880692703844e-05	-2.23084882484615
FANCL	Fanconi anemia complementation group L	2.90412076911963e-05	-1.94680522489744
		2.92595362974917e-05	-2.62393462135898
		2.92595362974917e-05	2.38138715402564
SERGEF	secretion regulating guanine nucleotide exchange factor	2.94506206036042e-05	-1.51469536856411
CFP	complement factor properdin	2.94603379741442e-05	2.04946383546154
SLC36A1	solute carrier family 36 member 1	3.01581625741343e-05	1.43466940738462
IPCEF1///CNKSR3	interaction protein for cytohesin exchange factors 1///CNKSR family member 3	3.07839136123765e-05	2.44734182741026
TBC1D8	TBC1 domain family member 8	3.12410063937179e-05	2.03960110879487
LILRA2	leukocyte immunoglobulin like receptor A2	3.22545188262955e-05	2.55625012005128
